,probe_cc,total,confirmed_count,anomaly_count
0,AD,75,1.0,1.0
1,AE,6882,3.0,1.0
2,AF,1557,1.0,1.0
3,AG,52,1.0,1.0
4,AI,19,,
5,AL,2239,1.0,1.0
6,AM,2475,1.0,1.0
7,AO,3399,1.0,1.0
8,AP,22,,
9,AR,19599,1.0,1.0
10,AS,2,,
11,AT,11434,1.0,1.0
12,AU,1194527,1.0,1.0
13,AW,54,,
14,AX,5,,
15,AZ,9052,1.0,1.0
16,BA,1102,1.0,1.0
17,BB,111,1.0,1.0
18,BD,5114,1.0,1.0
19,BE,4728,5.0,1.0
20,BF,1881,1.0,1.0
21,BG,2415,1.0,1.0
22,BH,430,1.0,1.0
23,BI,1904,1.0,1.0
24,BJ,2292,1.0,1.0
25,BM,53,1.0,1.0
26,BN,475,1.0,1.0
27,BO,7313,1.0,1.0
28,BQ,3,,
29,BR,110903,1.0,1.0
30,BS,167,1.0,1.0
31,BT,117,,
32,BW,289,1.0,1.0
33,BY,14593,1.0,1.0
34,BZ,305,,
35,CA,35622,1.0,1.0
36,CD,1002,1.0,1.0
37,CF,63,,
38,CG,417,1.0,1.0
39,CH,12373,1.0,1.0
40,CI,1796,1.0,1.0
41,CK,2,,
42,CL,25750,1.0,1.0
43,CM,2346,1.0,1.0
44,CN,16069,1.0,1.0
45,CO,16789,1.0,1.0
46,CR,1932,1.0,1.0
47,CU,17046,1.0,1.0
48,CV,483,1.0,1.0
49,CW,402,1.0,1.0
50,CY,628,1.0,1.0
51,CZ,4834,1.0,1.0
52,DE,79708,1.0,1.0
53,DJ,598,1.0,1.0
54,DK,3650,1.0,1.0
55,DM,60,,
56,DO,4578,1.0,1.0
57,DZ,71609,1.0,1.0
58,EC,9468,1.0,1.0
59,EE,1665,1.0,1.0
60,EG,47216,1.0,1.0
61,ER,7,,
62,ES,24879,1.0,1.0
63,ET,3768,1.0,1.0
64,EU,440,1.0,1.0
65,FI,5904,1.0,1.0
66,FJ,637,1.0,1.0
67,FM,17,,
68,FO,4,,
69,FR,53532,1.0,1.0
70,GA,1589,,
71,GB,41925,2.0,1.0
72,GD,31,,
73,GE,3635,1.0,1.0
74,GF,65,,
75,GG,19,1.0,1.0
76,GH,541,1.0,1.0
77,GI,17,,
78,GL,50,1.0,1.0
79,GM,404,1.0,1.0
80,GN,1111,1.0,1.0
81,GP,322,,
82,GQ,326,,
83,GR,7536,2.0,1.0
84,GT,2245,1.0,1.0
85,GU,121,1.0,1.0
86,GW,365,,
87,GY,425,1.0,1.0
88,HK,6421,1.0,1.0
89,HN,2486,1.0,1.0
90,HR,40822,1.0,1.0
91,HT,2093,1.0,1.0
92,HU,2698,1.0,1.0
93,ID,35154,1.0,1.0
94,IE,10011,1.0,1.0
95,IL,3592,1.0,1.0
96,IM,123,1.0,1.0
97,IN,58615,2.0,1.0
98,IO,4,,
99,IQ,33591,1.0,1.0
100,IR,49504,4.0,1.0
101,IS,831,1.0,1.0
102,IT,26762,2.0,1.0
103,JE,16,,
104,JM,655,1.0,1.0
105,JO,6241,1.0,1.0
106,JP,7856,1.0,1.0
107,KE,5229,1.0,1.0
108,KG,2403,1.0,1.0
109,KH,6810,1.0,1.0
110,KI,29,,
111,KM,220,,
112,KN,27,1.0,1.0
113,KP,11,,
114,KR,7213,1.0,1.0
115,KW,1797,1.0,1.0
116,KY,28,1.0,1.0
117,KZ,14086,1.0,1.0
118,LA,1395,1.0,1.0
119,LB,6492,1.0,1.0
120,LC,33,1.0,1.0
121,LI,52,1.0,1.0
122,LK,1372,1.0,1.0
123,LR,376,,
124,LS,326,1.0,1.0
125,LT,1923,1.0,1.0
126,LU,1522,1.0,1.0
127,LV,1142,1.0,1.0
128,LY,8861,1.0,1.0
129,MA,73814,1.0,1.0
130,MC,45,,
131,MD,3910,1.0,1.0
132,ME,258,1.0,1.0
133,MF,6,,
134,MG,1107,1.0,1.0
135,MH,60,,
136,MK,542,1.0,1.0
137,ML,5152,1.0,1.0
138,MM,442,1.0,1.0
139,MN,406,1.0,1.0
140,MO,189,1.0,1.0
141,MQ,140,,
142,MR,2060,1.0,1.0
143,MS,8,1.0,1.0
144,MT,239,1.0,1.0
145,MU,1132,1.0,1.0
146,MV,627,1.0,1.0
147,MW,167,1.0,1.0
148,MX,38230,1.0,1.0
149,MY,25186,3.0,1.0
150,MZ,5251,1.0,1.0
151,NA,903,1.0,1.0
152,NC,146,1.0,1.0
153,NE,1774,,
154,NG,4334,1.0,1.0
155,NI,3038,1.0,1.0
156,NL,18565,1.0,1.0
157,NO,5907,1.0,1.0
158,NP,1255,1.0,1.0
159,NR,10,,
160,NZ,3432,1.0,1.0
161,OM,3205,1.0,1.0
162,PA,2896,1.0,1.0
